Address,Price,Currency,Link,Property Type,Rooms_count,Floor,Area,City,Neighborhood,Tags1,Tags2,Tags3
אלי כהן 7,4300000,NIS,https://www.yad2.co.il/realestate/item/yywo62w1?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=1,דירה,3,10,87,רמת אביב החדשה,הגוש הגדול,"ממ""ד",נוף פתוח לפארק,חניה
מאיר בר אילן 33,4100000,NIS,https://www.yad2.co.il/realestate/item/v79tstrz?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=1,בית פרטי/ קוטג',6,,300,רמלה,המרכז האזרחי,מטבח גדול,חבל לפספס,בהזדמנות
פינסקר 6,2550000,NIS,https://www.yad2.co.il/realestate/item/t5fm40oo?opened-from=feed&component-type=main_feed&spot=standard&location=14&pagination=1,דירה,5,1,135,מרכז העיר,עיר,"ממ""ד",נוף פתוח לפארק,חניה
שער הגיא 2,980000,NIS,https://www.yad2.co.il/realestate/item/r9mgcg6g?opened-from=feed&component-type=main_feed&spot=standard&location=15&pagination=1,דירה,4,8,100,באר שבע,שכונה ט',נוף פתוח לעיר,חניה,נכס עורפי
אביזוהר 6,4300000,NIS,https://www.yad2.co.il/realestate/item/y4pwmova?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=1,דירה,5,2,93,רמת בית הכרם,בית הכרם,3 מרפסות,3 כיווני אוויר,חניה
נגבה 9,1750000,NIS,https://www.yad2.co.il/realestate/item/2znk9858?opened-from=feed&component-type=main_feed&spot=standard&location=17&pagination=1,דירה,5,6,152,עפולה,דרום עפולה,"ממ""ד",3 כיווני אוויר,חניה
השקד 40,5300000,NIS,https://www.yad2.co.il/realestate/item/qz8sg4ij?opened-from=feed&component-type=main_feed&spot=standard&location=18&pagination=1,דו משפחתי,5,,430,תל מונד,שכונה 2,4 מרפסות,3 כיווני אוויר,חניה
רוחמה 12,3150000,NIS,https://www.yad2.co.il/realestate/item/70qkqi4v?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=1,דירה,4,2,99,רמת גן,תל יהודה,"ממ""ד",חדש מקבלן,בהזדמנות
היוצרים 40,1820000,NIS,https://www.yad2.co.il/realestate/item/sivzezfn?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=1,דירה,3,6,92,אשקלון,עיר היין,"ממ""ד",חניה,חדש מקבלן
"הגוש הגדול, רמת אביב החדשה, נופי ים",1820000,טל,https://www.yad2.co.il/realestate/item/4x9bq4w3?opened-from=feed&component-type=main_feed&spot=standard&location=21&pagination=1,דירה,4,9,119,רמת אביב החדשה,הגוש הגדול,"ממ""ד",חניה,בהזדמנות
הבנאי,1820000,פוינט,https://www.yad2.co.il/realestate/item/7wvq0lkd?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=1,גג/ פנטהאוז,6,4,290,רמת בית הכרם,בית הכרם,3 מרפסות,"ממ""ד",חניה
ערבי נחל,1820000,תיווך,https://www.yad2.co.il/realestate/item/amcgchso?opened-from=feed&component-type=main_feed&spot=standard&location=23&pagination=1,דירה,5,10,128,גבעתיים,סיטי,"ממ""ד",חניה,נכס חדש
ההגנה 46,1820000,קבוצת,https://www.yad2.co.il/realestate/item/z6o5yn75?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=1,דירת גן,3,,110,,רחובות,"ממ""ד",חניה,נכס חדש
בית לחם,1820000,בארי,https://www.yad2.co.il/realestate/item/eyo54ozn?opened-from=feed&component-type=main_feed&spot=standard&location=25&pagination=1,דירה,4,7,100,רמת גן,תל יהודה,"ממ""ד",חניה,נכס חדש
בעל שם טוב,1820000,המרכז,https://www.yad2.co.il/realestate/item/lonlnnhk?opened-from=feed&component-type=main_feed&spot=standard&location=26&pagination=1,דירה,5,1,125,פתח תקווה,מחנה יהודה,"ממ""ד",חניה,חדש מקבלן
הלסינקי,1820000,רוזיו,https://www.yad2.co.il/realestate/item/y90bl7j0?opened-from=feed&component-type=main_feed&spot=standard&location=27&pagination=1,דירה,5,,85,תל אביב יפו,הצפון החדש - כיכר המדינה,חניה,חבל לפספס,בהזדמנות
אורט 14,1820000,בית,https://www.yad2.co.il/realestate/item/r1lu8gzb?opened-from=feed&component-type=main_feed&spot=standard&location=28&pagination=1,דירת גן,4,1,130,אשקלון,אפרידר,2 מרפסות,"ממ""ד",חניה
"חטיבת הנח""ל 12",1820000,Landsman,https://www.yad2.co.il/realestate/item/afnq4u5w?opened-from=feed&component-type=main_feed&spot=standard&location=29&pagination=1,דירה,5,5,135,חדרה,הפארק,"ממ""ד",חניה,נכס חדש
גרושקביץ' 42,1820000,Re/max,https://www.yad2.co.il/realestate/item/y4zuebe7?opened-from=feed&component-type=main_feed&spot=standard&location=30&pagination=1,גג/ פנטהאוז,6,3,211,קרית מוצקין,מוצקין הותיקה,2 מרפסות,"ממ""ד",יחידת הורים
גילה,1820000,AC,https://www.yad2.co.il/realestate/item/v9cskrm0?opened-from=feed&component-type=main_feed&spot=standard&location=31&pagination=1,בית פרטי/ קוטג',7,,392,ירושלים,גילה,"ממ""ד",יחידת הורים,בניין משופץ
חכם אבולעפיה,1820000,אדל,https://www.yad2.co.il/realestate/item/iwce2xc1?opened-from=feed&component-type=main_feed&spot=standard&location=32&pagination=1,דירת גן,2,1,80,טבריה,לב העיר,בניין משופץ,גמיש במחיר,בהזדמנות
שלומציון,2490000,"WONDERLAND
NIS",https://www.yad2.co.il/realestate/item/tho4ktw5?opened-from=feed&component-type=main_feed&spot=standard&location=33&pagination=1,דירה,3,2,64,רמת גן,נגבה,,,
הסירה,2490000,אור,https://www.yad2.co.il/realestate/item/jtz91v26?opened-from=feed&component-type=main_feed&spot=standard&location=34&pagination=1,דירה,4,4,113,יבנה,נאות רבין,"ממ""ד",חניה,בניין משופץ
"דרום חדש, פארק הים",2490000,Home,https://www.yad2.co.il/realestate/item/7lxvi0hf?opened-from=feed&component-type=main_feed&spot=standard&location=35&pagination=1,דירה,2,1,54,פארק הים,דרום חדש,"ממ""ד",חניה,נכס חדש
לייב יפה 61,6950000,"Jhomes
NIS",https://www.yad2.co.il/realestate/item/v58432pp?opened-from=feed&component-type=main_feed&spot=standard&location=36&pagination=1,גג/ פנטהאוז,5,1,186,ירושלים,ארנונה,3 מרפסות,חניה,משופצת אדריכלית
מושבה מרכז,4300000,"Bexcellent
NIS",https://www.yad2.co.il/realestate/item/twiebd6k?opened-from=feed&component-type=main_feed&spot=standard&location=37&pagination=1,בית פרטי/ קוטג',6,,200,זכרון יעקב,מושבה מרכז,"ממ""ד",חניה,נכס חדש
ישורון 54,4300000,ישראלי,https://www.yad2.co.il/realestate/item/2fcy7d8o?opened-from=feed&component-type=main_feed&spot=standard&location=38&pagination=1,דירה,5,16,145,הוד השרון,רמתיים,2 מרפסות,"ממ""ד",חניה
אוסישקין,4300000,רז,https://www.yad2.co.il/realestate/item/v1m00c16?opened-from=feed&component-type=main_feed&spot=standard&location=39&pagination=1,בית פרטי/ קוטג',5,,230,,הרצליה,אחריי להתחדשות עירונית,2 מרפסות,חניה
פועה,4300000,ערים,https://www.yad2.co.il/realestate/item/mp22mzz2?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=1,דירה,4,1,110,,חיפה,2 מרפסות,חבל לפספס,בהזדמנות
,4300000,ערים,,דירה,4,1,,,חיפה,,,
,4300000,ערים,,דירה,4,1,,,חיפה,,,
,4300000,ערים,,דירה,4,1,,,חיפה,,,
,4300000,ערים,,דירה,4,1,,,חיפה,,,
,4300000,ערים,,דירה,4,1,,,חיפה,,,
,4300000,ערים,,דירה,4,1,,,חיפה,,,
,4300000,ערים,,דירה,4,1,,,חיפה,,,
,4300000,ערים,,דירה,4,1,,,חיפה,,,
לוי יצחק מברדיצ'ב 15,4300000,לא,https://www.yad2.co.il/realestate/item/s5oj4zy4?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=2,בית פרטי/ קוטג',5,,250,ראשון לציון,ראשונים,3 מרפסות,3 כיווני אוויר,חניה
חיים לסקוב 12,7100000,NIS,https://www.yad2.co.il/realestate/item/uiwngkcj?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=2,בית פרטי/ קוטג',5,,270,נתניה,רמת פולג,"ממ""ד",חניה,מטבח גדול
רוחמה 12,3950000,NIS,https://www.yad2.co.il/realestate/item/a112592x?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=2,דירת גן,5,,220,רמת גן,תל יהודה,"ממ""ד",חניה,חדש מקבלן
עסיס 5,1825000,NIS,https://www.yad2.co.il/realestate/item/xzbi87f0?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=2,דירה,4,2,96,פרדס חנה כרכור,נווה גנים,"ממ""ד",3 כיווני אוויר,חניה
הדרך הטורקית 2,6800000,NIS,https://www.yad2.co.il/realestate/item/g7do1zru?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=2,בית פרטי/ קוטג',8,,790,ראש פינה,ראש פינה,4 חדרי מקלחת,4 כיווני אוויר,חדש מקבלן
עופרה 1,5700000,NIS,https://www.yad2.co.il/realestate/item/xqn2gqee?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=2,דו משפחתי,5,,300,גן יבנה,גן יבנה מערב,2 מרפסות,"ממ""ד",חניה
הפרחים 2,5500000,NIS,https://www.yad2.co.il/realestate/item/wvw56jcz?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=2,דירה,5,1,143,רמת השרון,נווה גן,"ממ""ד",3 כיווני אוויר,חניה
שונית 5,2500000,NIS,https://www.yad2.co.il/realestate/item/njuumno3?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=2,דירה,4,8,107,חיפה,רמת חביב / רמת הנשיא,"ממ""ד",3 כיווני אוויר,חניה
פינת הרצל 5,900000,NIS,https://www.yad2.co.il/realestate/item/4ynpq9yu?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=2,דירה,2,2,60,חיפה,"יל""ג",מטבח גדול,חבל לפספס,בהזדמנות
מבצע עובדה 39,676000,NIS,https://www.yad2.co.il/realestate/item/we9asuax?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=2,דירה,3,4,76,באר שבע,שכונה ו',3 כיווני אוויר,נוף פתוח לעיר,חניה
מרווה 9,1970000,NIS,https://www.yad2.co.il/realestate/item/zx8vqe2q?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=2,דירה,5,3,135,באר שבע,סיגליות,"ממ""ד",חניה,נכס חדש
בית גוברין 7,4100000,NIS,https://www.yad2.co.il/realestate/item/uurkagmf?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=2,דירה,5,8,132,רמת השרון,מורשה,3 כיווני אוויר,חניה,חדש מקבלן
בר יוחאי 55,3100000,NIS,https://www.yad2.co.il/realestate/item/ygde9usn?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=2,גג/ פנטהאוז,4,2,100,תל אביב יפו,שפירא,נוף פתוח לעיר,משופצת אדריכלית,בהזדמנות
הרצל 197,4270000,NIS,https://www.yad2.co.il/realestate/item/d6iqaffy?opened-from=feed&component-type=main_feed&spot=standard&location=14&pagination=2,גג/ פנטהאוז,4,13,135,רחובות,ב' / צפון מערב העיר,"ממ""ד",נוף פתוח לעיר,חניה
אברהם שפירא 25,1950000,NIS,https://www.yad2.co.il/realestate/item/ky8kt2k3?opened-from=feed&component-type=main_feed&spot=standard&location=15&pagination=2,גג/ פנטהאוז,3,6,120,אשדוד,רובע ו',2 מרפסות,"ממ""ד",נוף פתוח לעיר
סביון 14,1550000,NIS,https://www.yad2.co.il/realestate/item/orumtlt2?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=2,דירה,4,3,110,חריש,הפרחים,"ממ""ד",נוף פתוח לעיר,חניה
משעול רופין 1,1295000,NIS,https://www.yad2.co.il/realestate/item/qutiplnp?opened-from=feed&component-type=main_feed&spot=standard&location=17&pagination=2,דירת גן,4,,90,שדרות,נאות יצחק רבין,"ממ""ד",נוף פתוח לעיר,חניה
הדקל 1,7000000,NIS,https://www.yad2.co.il/realestate/item/tivf9wj6?opened-from=feed&component-type=main_feed&spot=standard&location=18&pagination=2,משק חקלאי/ נחלה,7,,2500,שובה,שובה,4 כיווני אוויר,חניה,בהזדמנות
שמעון בר גיורא 9,755000,NIS,https://www.yad2.co.il/realestate/item/1sp3bx83?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=2,דירה,3,1,46,באר שבע,שכונה ד',נוף פתוח לעיר,נכס עורפי,בהזדמנות
אוסישקין 35,1990000,NIS,https://www.yad2.co.il/realestate/item/3165n6bq?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=2,גג/ פנטהאוז,5,5,260,טבריה,אחוזת כנרת,"ממ""ד",3 כיווני אוויר,חניה
שדרות ההשכלה,1990000,בלומברג,https://www.yad2.co.il/realestate/item/drhy869e?opened-from=feed&component-type=main_feed&spot=standard&location=21&pagination=2,בית פרטי/ קוטג',5,,295,תל אביב יפו,ביצרון ורמת ישראל,,,
בית פרטי/ קוטג',1990000,איילת,https://www.yad2.co.il/realestate/item/gwzxyg6y?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=2,בית פרטי/ קוטג',7,,500,,משמר הירדן,2 מרפסות,"ממ""ד",חניה
כרם התימנים,1990000,רוזיו,https://www.yad2.co.il/realestate/item/vg3kef89?opened-from=feed&component-type=main_feed&spot=standard&location=23&pagination=2,גג/ פנטהאוז,5,6,140,תל אביב יפו,כרם התימנים,חניה,נכס חדש,קרוב לים
נווה אביבים,1990000,יהודית,https://www.yad2.co.il/realestate/item/gmy4ruad?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=2,דירה,5,2,115,תל אביב יפו,נווה אביבים,חניה,קרוב לפארק,בהזדמנות
הוותיקה,1990000,ברזני,https://www.yad2.co.il/realestate/item/ujx17nnk?opened-from=feed&component-type=main_feed&spot=standard&location=25&pagination=2,בית פרטי/ קוטג',6,,600,צור הדסה,הוותיקה,,,
הגילגל,1990000,אלכס,https://www.yad2.co.il/realestate/item/wdr61q30?opened-from=feed&component-type=main_feed&spot=standard&location=26&pagination=2,בית פרטי/ קוטג',10,,340,,מעלה אדומים,3 מרפסות,"ממ""ד",חניה
בניין מגורים,1990000,הומלנד,,בניין מגורים,10,,746,,חיפה,ייחודי,חבל לפספס,בהזדמנות
שמורת נחל בשור,1990000,סילבר,https://www.yad2.co.il/realestate/item/0ez1k7y2?opened-from=feed&component-type=main_feed&spot=standard&location=28&pagination=2,דירה,4,4,120,נתניה,אגמים,,,
ארניה,1990000,גאיה,https://www.yad2.co.il/realestate/item/pyoxev0r?opened-from=feed&component-type=main_feed&spot=standard&location=29&pagination=2,דירה,5,2,100,רמת גן,נחלת גנים,,,
הרב פנחס קהתי 20,1990000,Compass,https://www.yad2.co.il/realestate/item/sfs3h35f?opened-from=feed&component-type=main_feed&spot=standard&location=30&pagination=2,דירה,5,9,96,ירושלים,גבעת שאול,"ממ""ד",חניה,בהזדמנות
חיים משה שפירא,1990000,תיווך,https://www.yad2.co.il/realestate/item/pjigjpac?opened-from=feed&component-type=main_feed&spot=standard&location=31&pagination=2,דירה,3,5,89,אשדוד,רובע ד',חניה,חבל לפספס,בהזדמנות
ארבל,1990000,דרור,https://www.yad2.co.il/realestate/item/wxsf3ejm?opened-from=feed&component-type=main_feed&spot=standard&location=32&pagination=2,דו משפחתי,6,,340,אלפי מנשה,צוותא א,"ממ""ד",חבל לפספס,בהזדמנות
רימון,1990000,C,https://www.yad2.co.il/realestate/item/hsvfspjy?opened-from=feed&component-type=main_feed&spot=standard&location=33&pagination=2,דירה,4,1,128,חריש,החורש,"ממ""ד",חניה,נכס חדש
שניר 1,1990000,"נדל""ן",https://www.yad2.co.il/realestate/item/ml8nzfj6?opened-from=feed&component-type=main_feed&spot=standard&location=34&pagination=2,דירה,3,1,90,אריאל,רובע א',,,
חיים ויצמן,1990000,HELLO,https://www.yad2.co.il/realestate/item/82671r6j?opened-from=feed&component-type=main_feed&spot=standard&location=35&pagination=2,דירה,4,3,109,מודיעין מכבים רעות,מורשת,נכס חדש,יחידת הורים,מטבח גדול
זכרון יעקב,1990000,שי,https://www.yad2.co.il/realestate/item/wj3s1rbr?opened-from=feed&component-type=main_feed&spot=standard&location=36&pagination=2,דירה,4,3,96,פתח תקווה,הדר המושבות הותיקה / אם המושבות הותיקה,,,
אוסישקין,7300000,"עזרא-נכסים
NIS",https://www.yad2.co.il/realestate/item/4mvm1z2e?opened-from=feed&component-type=main_feed&spot=standard&location=37&pagination=2,דירה,4,3,107,תל אביב יפו,הצפון הישן - צפון,חניה,קרוב לפארק,בהזדמנות
דרך בן גוריון 113,7300000,FORMIDABLE,https://www.yad2.co.il/realestate/item/ccnxi6jq?opened-from=feed&component-type=main_feed&spot=standard&location=38&pagination=2,דירה,4,2,110,,בת ים,"ממ""ד",חניה,נכס חדש
לוטם,7300000,אפל,https://www.yad2.co.il/realestate/item/on6jlmbo?opened-from=feed&component-type=main_feed&spot=standard&location=39&pagination=2,בית פרטי/ קוטג',7,,254,,הוד השרון,"ממ""ד",חניה,בניין משופץ
אנה פרנק,7300000,LEAD,https://www.yad2.co.il/realestate/item/viekb8e8?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=2,גג/ פנטהאוז,5,10,275,רמת גן,חרוזים,"ממ""ד",חניה,נכס חדש
,7300000,LEAD,,גג/ פנטהאוז,5,10,,רמת גן,חרוזים,,,
,7300000,LEAD,,גג/ פנטהאוז,5,10,,רמת גן,חרוזים,,,
,7300000,LEAD,,גג/ פנטהאוז,5,1,127,רמת גן,חרוזים,,,
,7300000,LEAD,,גג/ פנטהאוז,5,5,132,רמת גן,חרוזים,,,
,7300000,LEAD,,גג/ פנטהאוז,5,,,רמת גן,חרוזים,,,
,7300000,LEAD,,גג/ פנטהאוז,3,5,66,רמת גן,חרוזים,,,
,7300000,LEAD,,גג/ פנטהאוז,3,5,,רמת גן,חרוזים,,,
,7300000,LEAD,,גג/ פנטהאוז,3,5,,רמת גן,חרוזים,,,
"ש""י עגנון 17",4495000,NIS,https://www.yad2.co.il/realestate/item/csyoxxsi?opened-from=feed&component-type=main_feed&spot=standard&location=1&pagination=3,דירה,5,12,159,קרית אונו,שיכון רסקו,2 מרפסות,חניה,חדש מקבלן
אהוד מנור 2,2400000,NIS,https://www.yad2.co.il/realestate/item/r4y1mmqi?opened-from=feed&component-type=main_feed&spot=standard&location=2&pagination=3,דירה,4,7,179,עכו,הכרם ב,4 כיווני אוויר,נוף פתוח לים,בהזדמנות
מרדכי פופל 10,2040000,NIS,https://www.yad2.co.il/realestate/item/jj75ax5g?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=3,דירה,5,8,113,ראשון לציון,קדמת ראשון,נוף פתוח לעיר,חניה,בניין משופץ
אליעזר שילוני 2,4200000,NIS,https://www.yad2.co.il/realestate/item/3t4eccei?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=3,דירה,5,15,136,ירושלים,עיר גנים,"ממ""ד",3 כיווני אוויר,חניה
לאה אמנו 20,3700000,NIS,https://www.yad2.co.il/realestate/item/wfov6d11?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=3,גג/ פנטהאוז,5,4,200,לוד,אחיסמך,3 מרפסות,"ממ""ד",3 כיווני אוויר
שדרות בר אילן 45,1870000,NIS,https://www.yad2.co.il/realestate/item/upzwrjb7?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=3,דירה,5,4,72,בת ים,דרום מערב ותיק,נוף פתוח לעיר,בניין משופץ,קרוב לפארק
דרור 3,4350000,NIS,https://www.yad2.co.il/realestate/item/f2hsersm?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=3,בית פרטי/ קוטג',5,,350,עפולה,שאר העיר,"ממ""ד",3 כיווני אוויר,חניה
"ש""י עגנון 5",4950000,NIS,https://www.yad2.co.il/realestate/item/m0ycuv16?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=3,דופלקס,6,9,310,יבנה,נאות שמיר,3 חדרי מקלחת,3 כיווני אוויר,חניה
יהודה הלוי 21,1070000,NIS,https://www.yad2.co.il/realestate/item/8tfo7kab?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=3,דירה,5,2,135,קרית שמונה,דוד רזיאל,4 כיווני אוויר,נוף פתוח לעיר,בניין משופץ
רוגוזין 7,1070000,לא,https://www.yad2.co.il/realestate/item/j2nefhvx?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=3,דירה,5,1,120,אשדוד,רובע א',4 חדרי מקלחת,חניה,מטבח גדול
כורש 14,1325000,NIS,https://www.yad2.co.il/realestate/item/hxof7b4c?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=3,דירה,5,3,143,עפולה,שכון עובדים,3 כיווני אוויר,נוף פתוח לעיר,חניה
ניתאי הארבלי 48,2904060,NIS,https://www.yad2.co.il/realestate/item/h1qvczm8?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=3,דירה,3,5,86,ירושלים,קטמונים,"ממ""ד",חניה,חדש מקבלן
ניתאי הארבלי 48,2940490,NIS,https://www.yad2.co.il/realestate/item/bq35fosl?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=3,דירה,3,4,89,ירושלים,קטמונים,"ממ""ד",חניה,חדש מקבלן
ניתאי הארבלי 48,3220560,NIS,https://www.yad2.co.il/realestate/item/6bx3splz?opened-from=feed&component-type=main_feed&spot=standard&location=14&pagination=3,דירה,3,5,120,ירושלים,קטמונים,"ממ""ד",חניה,חדש מקבלן
ניתאי הארבלי 48,3151980,NIS,https://www.yad2.co.il/realestate/item/gsblb7un?opened-from=feed&component-type=main_feed&spot=standard&location=15&pagination=3,דירה,3,5,106,ירושלים,קטמונים,"ממ""ד",חניה,חדש מקבלן
יעקב חזן 19,7970000,NIS,https://www.yad2.co.il/realestate/item/n8yibm2g?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=3,דירת גן,6,1,316,תל אביב יפו,רביבים,3 חדרי מקלחת,3 כיווני אוויר,חדש מקבלן
משה שרת 5,6490000,NIS,https://www.yad2.co.il/realestate/item/vxiavkal?opened-from=feed&component-type=main_feed&spot=standard&location=17&pagination=3,דירה,4,4,118,תל אביב יפו,הצפון החדש - כיכר המדינה,"ממ""ד",חניה,חדש מקבלן
הרב אבא אבוחצירה 9,2600000,NIS,https://www.yad2.co.il/realestate/item/62vp1g3x?opened-from=feed&component-type=main_feed&spot=standard&location=18&pagination=3,גג/ פנטהאוז,5,8,200,שדרות,שדרות בפארק,2 מרפסות,"ממ""ד",חניה
ארלוזורוב 6,4890000,NIS,https://www.yad2.co.il/realestate/item/oty55mo7?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=3,בית פרטי/ קוטג',5,,500,קרית אתא,מרכז העיר,2 מרפסות,4 כיווני אוויר,חניה
ההגנה 9,4180000,NIS,https://www.yad2.co.il/realestate/item/p3mcs9xa?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=3,דירה,4,2,109,גבעת שפירא,הגבעה הצרפתית,3 כיווני אוויר,נוף פתוח לעיר,חניה
נייברג 21,4180000,N.G,https://www.yad2.co.il/realestate/item/v8yprkzc?opened-from=feed&component-type=main_feed&spot=standard&location=21&pagination=3,דירה,3,1,87,טבריה,קרית שמואל,"ממ""ד",חניה,נכס חדש
הרב דוד אלטשולר 103,4180000,דורון,https://www.yad2.co.il/realestate/item/8zw7ylbt?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=3,דירה,4,1,120,ירושלים,גילה,"ממ""ד",חניה,נכס חדש
דו משפחתי,4180000,TS,https://www.yad2.co.il/realestate/item/qmyud94f?opened-from=feed&component-type=main_feed&spot=standard&location=23&pagination=3,דו משפחתי,7,,290,,כרמיאל,"ממ""ד",חניה,יחידת הורים
"רובע י""א",4180000,LIONS,https://www.yad2.co.il/realestate/item/vvbs98ph?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=3,דירה,4,2,118,אשדוד,"רובע י""א","ממ""ד",חניה,יחידת הורים
ברנע,4180000,אבוחצירא,https://www.yad2.co.il/realestate/item/0gxoeb7i?opened-from=feed&component-type=main_feed&spot=standard&location=25&pagination=3,בית פרטי/ קוטג',5,,436,אשקלון,ברנע,2 מרפסות,"ממ""ד",חניה
"לב תל אביב, לב העיר צפון",4180000,פלד,https://www.yad2.co.il/realestate/item/pvocep4c?opened-from=feed&component-type=main_feed&spot=standard&location=26&pagination=3,דירה,3,4,106,לב העיר צפון,לב תל אביב,חניה,בניין משופץ,בהזדמנות
העלייה,4180000,ישראסיטי,https://www.yad2.co.il/realestate/item/y6whal9c?opened-from=feed&component-type=main_feed&spot=standard&location=27&pagination=3,דירה,4,3,110,בית שמש,רמת משה / בית שמש הוותיקה,,,
הזמר העברי,4180000,R.E.,https://www.yad2.co.il/realestate/item/wvx0b0wi?opened-from=feed&component-type=main_feed&spot=standard&location=28&pagination=3,דירה,4,4,12,כפר סבא,הזמר העברי,"ממ""ד",חניה,בהזדמנות
העדי,4180000,SUNSET,https://www.yad2.co.il/realestate/item/2jkysbn9?opened-from=feed&component-type=main_feed&spot=standard&location=29&pagination=3,בית פרטי/ קוטג',9,,1400,קיסריה,העדי,3 מרפסות,"ממ""ד",חניה
